file,name,value
paula/tree/SFoi/ogr040.SFoi.anno_feat.xml,title_en,Song of Saint Faith
paula/tree/SFoi/ogr040.SFoi.anno_feat.xml,title_fr,Chanson de sainte Foi
paula/tree/SFoi/ogr040.SFoi.anno_feat.xml,author,anonymous
paula/tree/SFoi/ogr040.SFoi.anno_feat.xml,ms,"Leiden, Universiteitsbibliotheek, Vossiani lartini in-octavo 60"
paula/tree/SFoi/ogr040.SFoi.anno_feat.xml,form,verse
paula/tree/SFoi/ogr040.SFoi.anno_feat.xml,source,ms. image
paula/tree/SLeger/ogr040.SLeger.anno_feat.xml,text,SLeger
paula/tree/SLeger/ogr040.SLeger.anno_feat.xml,lang,fro
paula/tree/SLeger/ogr040.SLeger.anno_feat.xml,lang_other,---
paula/tree/SLeger/ogr040.SLeger.anno_feat.xml,ms_cent,10..11
paula/tree/SLeger/ogr040.SLeger.anno_feat.xml,ms_origin,Limousin [?]
paula/tree/SLeger/ogr040.SLeger.anno_feat.xml,text_cent,10
paula/tree/SLeger/ogr040.SLeger.anno_feat.xml,text_origin,Picardy|Wallonia [?]
paula/tree/SLeger/ogr040.SLeger.anno_feat.xml,title_en,Life of Saint Leger
paula/tree/SLeger/ogr040.SLeger.anno_feat.xml,title_fr,Vie de saint Léger
paula/tree/SLeger/ogr040.SLeger.anno_feat.xml,author,anonymous
paula/tree/SLeger/ogr040.SLeger.anno_feat.xml,ms,"Clermont-Ferrand, Bibliothèque municipale, 240"
paula/tree/SLeger/ogr040.SLeger.anno_feat.xml,form,verse
paula/tree/SLeger/ogr040.SLeger.anno_feat.xml,source,transcription
paula/tree/Spons/ogr040.Spons.anno_feat.xml,text,Spons
paula/tree/Spons/ogr040.Spons.anno_feat.xml,lang,pro
paula/tree/Spons/ogr040.Spons.anno_feat.xml,lang_other,lat
paula/tree/Spons/ogr040.Spons.anno_feat.xml,ms_cent,11..12
paula/tree/Spons/ogr040.Spons.anno_feat.xml,ms_origin,Limousin
paula/tree/Spons/ogr040.Spons.anno_feat.xml,text_cent,11
paula/tree/Spons/ogr040.Spons.anno_feat.xml,text_origin,Poitou [?]
paula/tree/Spons/ogr040.Spons.anno_feat.xml,title_en,Sponsus
paula/tree/Spons/ogr040.Spons.anno_feat.xml,title_fr,Sponsus
paula/tree/Spons/ogr040.Spons.anno_feat.xml,ms,"Paris, Bibliothèque nationale, lat. 1139"
paula/tree/Spons/ogr040.Spons.anno_feat.xml,form,verse
paula/tree/Spons/ogr040.Spons.anno_feat.xml,source,ms. image
paula/tree/ogr040.meta_multiFeat.xml,name,"Old Gallo-Romance (OGR) Corpus, ANNIS edition"
paula/tree/ogr040.meta_multiFeat.xml,creator,T. M. Rainsford
paula/tree/ogr040.meta_multiFeat.xml,email,thomas.rainsford@ling.uni-stuttgart.de
paula/tree/ogr040.meta_multiFeat.xml,website,http://www.ogr-corpus.org
paula/tree/ogr040.meta_multiFeat.xml,citation,"Rainsford, Thomas M. 2022. Old Gallo-Romance Corpus: ANNIS edition, version 0.4. Stuttgart: Institut für Linguistik/Romanistik. <http://www.ogr-corpus.org>"
